Compliance Year,RIN Year,Categories,Fuel (D Code),Assignment,Total RINs
"2023","2023","RIN Originator","D4","Separated","2,073,543,138"
"2023","2023","RIN Originator","D5","Assigned","47,325,912"
"2023","2023","RIN Originator","D5","Separated","8,893,670"
"2023","2023","RIN Originator","D6","Assigned","12,882,191,501"
"2023","2023","RIN Originator","D6","Separated","898,589,826"
"2023","2023","RIN Originator","D7","Separated","208,643"
"2023","2023","RIN Owner","D3","Separated","366,465,770"
"2023","2023","RIN Owner","D4","Separated","2,978,413,823"
"2023","2023","RIN Owner","D4","Assigned","523,745,372"
"2023","2023","RIN Owner","D5","Separated","16,373,869"
"2023","2023","RIN Owner","D5","Assigned","767,898"
"2023","2023","RIN Owner","D6","Separated","5,040,379,907"
"2023","2023","RIN Owner","D6","Assigned","4,318,418,930"
"2023","2023","RIN Owner","D7","Separated","208,643"
"2023","2022","Exporter","D3","Separated","4,613,522"
"2023","2022","Exporter","D4","Separated","325,980,092"
"2023","2022","Exporter","D4","Assigned","170,404,846"
"2023","2022","Exporter","D5","Assigned","8,727,352"
"2023","2022","Exporter","D5","Separated","6,290,677"
"2023","2022","Exporter","D6","Separated","772,510,135"
"2023","2022","Exporter","D6","Assigned","310,615,970"
"2023","2022","Obligated Party","D3","Separated","123,304,575"
"2023","2022","Obligated Party","D4","Separated","1,321,544,347"
"2023","2022","Obligated Party","D4","Assigned","16,339,774"
"2023","2022","Obligated Party","D5","Separated","53,034,089"
"2023","2022","Obligated Party","D6","Separated","2,994,859,145"
"2023","2022","Obligated Party","D6","Assigned","45,484,848"
"2023","2022","RIN Originator","D3","Separated","96,461,670"
"2023","2022","RIN Originator","D3","Assigned","131,817"
"2023","2022","RIN Originator","D4","Separated","148,012,197"
"2023","2022","RIN Originator","D4","Assigned","109,469,424"
"2023","2022","RIN Originator","D5","Assigned","11,695,904"
"2023","2022","RIN Originator","D5","Separated","1,177,495"
"2023","2022","RIN Originator","D6","Separated","196,048,419"
"2023","2022","RIN Originator","D6","Assigned","54,985,711"
"2023","2022","RIN Originator","D7","Separated","33,897"
"2023","2022","RIN Owner","D3","Separated","133,282,111"
"2023","2022","RIN Owner","D4","Separated","816,177,547"
"2023","2022","RIN Owner","D4","Assigned","41,929,024"
"2023","2022","RIN Owner","D5","Separated","39,174,382"
"2023","2022","RIN Owner","D5","Assigned","382,867"
"2023","2022","RIN Owner","D6","Separated","2,167,264,016"
"2023","2022","RIN Owner","D6","Assigned","110,729,434"
"2023","2022","RIN Owner","D7","Separated","33,897"
"2023","2021","Exporter","D3","Separated","104,021"
"2023","2021","Exporter","D4","Separated","1,326,639"
"2023","2021","Exporter","D6","Separated","63,889,464"
"2023","2021","Exporter","D6","Assigned","2,217,247"
"2023","2021","Obligated Party","D3","Separated","63,963,534"
"2023","2021","Obligated Party","D4","Separated","448,543,416"
"2023","2021","Obligated Party","D4","Assigned","120,745"
"2023","2021","Obligated Party","D5","Separated","20,415,185"
"2023","2021","Obligated Party","D6","Separated","763,355,755"
"2023","2021","RIN Originator","D3","Separated","384,560"
"2023","2021","RIN Originator","D4","Assigned","3,084,722"
"2023","2021","RIN Originator","D4","Separated","204,266"
"2023","2021","RIN Originator","D5","Separated","160,791"
"2023","2021","RIN Originator","D6","Assigned","1,481,546"
"2023","2021","RIN Owner","D3","Separated","8,067,900"
"2023","2021","RIN Owner","D4","Separated","103,755,354"
"2023","2021","RIN Owner","D5","Separated","10,410,122"
"2023","2021","RIN Owner","D6","Separated","341,892,915"
"2023","2021","RIN Owner","D6","Assigned","285,372"
"2023","2020","Exporter","D3","Separated","18,823"
"2023","2020","Exporter","D6","Separated","3,034,901"
"2023","2020","Exporter","D6","Assigned","8,125"
"2023","2020","Obligated Party","D3","Separated","1,897,390"
"2023","2020","Obligated Party","D4","Separated","9,420,492"
"2023","2020","Obligated Party","D5","Separated","18,152,850"
"2023","2020","Obligated Party","D6","Separated","83,770,633"
"2023","2020","RIN Owner","D3","Separated","1,064,316"
"2023","2020","RIN Owner","D4","Separated","6,359,524"
"2023","2020","RIN Owner","D5","Separated","2,587,407"
"2023","2020","RIN Owner","D6","Separated","12,387,309"
"2023","2018","Obligated Party","D6","Separated","7,706"
"2022","2022","Exporter","D3","Separated","70,377,047"
"2022","2022","Exporter","D4","Assigned","1,971,400,223"
"2022","2022","Exporter","D4","Separated","1,252,636,392"
"2022","2022","Exporter","D5","Assigned","76,795,425"
"2022","2022","Exporter","D5","Separated","28,700,000"
"2022","2022","Exporter","D6","Assigned","9,567,450,262"
"2022","2022","Exporter","D6","Separated","1,142,856,254"
"2022","2022","Obligated Party","D3","Separated","237,043,626"
"2022","2022","Obligated Party","D4","Separated","3,058,941,108"
"2022","2022","Obligated Party","D4","Assigned","394,363,017"
"2022","2022","Obligated Party","D5","Separated","115,240,545"
"2022","2022","Obligated Party","D5","Assigned","11,896,265"
"2022","2022","Obligated Party","D6","Separated","11,016,224,420"
"2022","2022","Obligated Party","D6","Assigned","460,946,885"
"2022","2022","RIN Originator","D3","Separated","534,160,868"
"2022","2022","RIN Originator","D3","Assigned","1,264,686"
"2022","2022","RIN Originator","D4","Assigned","3,359,545,132"
"2022","2022","RIN Originator","D4","Separated","960,070,905"
"2022","2022","RIN Originator","D5","Assigned","68,802,026"
"2022","2022","RIN Originator","D5","Separated","23,329,509"
"2022","2022","RIN Originator","D6","Assigned","12,331,663,503"
"2022","2022","RIN Originator","D6","Separated","115,461,103"
"2022","2022","RIN Originator","D7","Separated","202,455"
"2022","2022","RIN Owner","D3","Separated","301,375,321"
"2022","2022","RIN Owner","D4","Separated","2,375,474,992"
"2022","2022","RIN Owner","D4","Assigned","478,044,696"
"2022","2022","RIN Owner","D5","Separated","18,643,887"
"2022","2022","RIN Owner","D5","Assigned","443,629"
"2022","2022","RIN Owner","D6","Separated","4,701,009,109"
"2022","2022","RIN Owner","D6","Assigned","4,478,159,182"
"2022","2022","RIN Owner","D7","Separated","202,455"
"2022","2021","Exporter","D3","Separated","2,283,228"
"2022","2021","Exporter","D4","Separated","310,062,323"
"2022","2021","Exporter","D4","Assigned","188,815,244"
"2022","2021","Exporter","D5","Separated","3,412,936"
"2022","2021","Exporter","D5","Assigned","534,742"
"2022","2021","Exporter","D6","Separated","525,535,484"
"2022","2021","Exporter","D6","Assigned","194,544,218"
"2022","2021","Obligated Party","D3","Separated","77,720,125"
"2022","2021","Obligated Party","D4","Separated","1,053,303,475"
"2022","2021","Obligated Party","D4","Assigned","114,713,571"
"2022","2021","Obligated Party","D5","Separated","26,189,298"
"2022","2021","Obligated Party","D6","Separated","2,519,474,411"
"2022","2021","Obligated Party","D6","Assigned","61,872,441"
"2022","2021","RIN Originator","D3","Separated","69,550,768"
"2022","2021","RIN Originator","D3","Assigned","30,821"
"2022","2021","RIN Originator","D4","Assigned","140,524,904"
"2022","2021","RIN Originator","D4","Separated","112,322,054"
"2022","2021","RIN Originator","D5","Assigned","4,656,640"
"2022","2021","RIN Originator","D5","Separated","2,486,741"
"2022","2021","RIN Originator","D6","Separated","20,758,714"
"2022","2021","RIN Originator","D6","Assigned","18,274,617"
"2022","2021","RIN Originator","D7","Separated","247,518"
"2022","2021","RIN Owner","D3","Separated","72,430,827"
"2022","2021","RIN Owner","D4","Separated","755,499,255"
"2022","2021","RIN Owner","D4","Assigned","32,273,481"
"2022","2021","RIN Owner","D5","Separated","15,319,522"
"2022","2021","RIN Owner","D5","Assigned","590,248"
"2022","2021","RIN Owner","D6","Separated","1,993,732,718"
"2022","2021","RIN Owner","D6","Assigned","79,490,009"
"2022","2021","RIN Owner","D7","Separated","247,518"
"2022","2020","Exporter","D4","Separated","1,546,619"
"2022","2020","Exporter","D5","Separated","252,950"
"2022","2020","Exporter","D6","Separated","32,686,890"
"2022","2020","Exporter","D6","Assigned","11,888"
"2022","2020","Obligated Party","D3","Separated","61,000,129"
"2022","2020","Obligated Party","D4","Separated","439,320,756"
"2022","2020","Obligated Party","D5","Separated","137,618,437"
"2022","2020","Obligated Party","D6","Separated","977,934,232"
"2022","2020","Obligated Party","D6","Assigned","29,000,261"
"2022","2020","RIN Originator","D3","Separated","53,165"
"2022","2020","RIN Originator","D4","Separated","75,814"
"2022","2020","RIN Originator","D6","Separated","37,716"
"2022","2020","RIN Originator","D7","Separated","55,892"
"2022","2020","RIN Owner","D3","Separated","20,720,739"
"2022","2020","RIN Owner","D4","Separated","153,565,633"
"2022","2020","RIN Owner","D4","Assigned","289,000"
"2022","2020","RIN Owner","D5","Separated","40,656,520"
"2022","2020","RIN Owner","D6","Separated","701,958,255"
"2022","2020","RIN Owner","D7","Separated","55,892"
"2022","2019","Exporter","D3","Assigned","419"
"2022","2019","Exporter","D4","Separated","49,755"
"2022","2019","Exporter","D6","Separated","384,461"
"2022","2019","Exporter","D6","Assigned","219,807"
"2022","2019","Obligated Party","D3","Separated","2,399,097"
"2022","2019","Obligated Party","D4","Separated","12,968,595"
"2022","2019","Obligated Party","D5","Separated","156,000"
"2022","2019","Obligated Party","D6","Separated","124,135,380"
"2022","2019","RIN Originator","D4","Separated","219,759"
"2022","2019","RIN Originator","D4","Assigned","1"
"2022","2019","RIN Owner","D3","Separated","872,467"
"2022","2019","RIN Owner","D4","Separated","8,932,394"
